target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
CCCP2ugml,3,XGBoost,shap,mobC~~~mbeC,5,0.001095369828,39.4,5,7,0.027463894488799993,0.015270024193999998,0.5560035995706014,PAN,Chemical stress
CCCP2ugml,3,XGBoost,shap,group_8329,5,0.001088356838,44.2,5,8,0.027463894488799993,0.016358381031999998,0.5956322414022921,PAN,Chemical stress
CCCP2ugml,3,XGBoost,shap,group_8553,5,0.001040709858,41.4,5,9,0.027463894488799993,0.017399090889999996,0.6335259879874463,PAN,Chemical stress
CCCP2ugml,3,XGBoost,shap,group_9274,5,0.00101156158,36.4,5,10,0.027463894488799993,0.018410652469999997,0.6703584037401548,PAN,Chemical stress
Cefaclor1ugml,3,XGBoost,shap,Clusters_1,5,0.00638037998,1.6,5,1,0.043874080095999995,0.00638037998,0.14542481497137302,STR,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,tnp~~~traO,5,0.00360949282,19.4,5,2,0.043874080095999995,0.0099898728,0.22769418249092313,PAN,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,Clusters_16,5,0.0027352171,9.6,5,3,0.043874080095999995,0.0127250899,0.2900366200762839,STR,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,Clusters_4,5,0.0025251917076,89.4,5,4,0.043874080095999995,0.015250281607599999,0.3475920537645727,STR,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,Clusters_2,5,0.0020721344399999998,28.4,5,5,0.043874080095999995,0.0173224160476,0.394821179377372,STR,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,Clusters_5,5,0.00205756978,23.6,5,6,0.043874080095999995,0.0193799858276,0.44171833996735754,STR,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,tnpA,5,0.002028944148,26.6,5,7,0.043874080095999995,0.0214089299756,0.4879630508207933,PAN,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,group_8553,5,0.00201873019,37,5,8,0.043874080095999995,0.023427660165600002,0.5339749600296669,PAN,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,Clusters_6,5,0.0018809641540000002,36.8,5,9,0.043874080095999995,0.0253086243196,0.5768468367706561,STR,Antibiotics
Cefaclor1ugml,3,XGBoost,shap,group_5253,5,0.00186601134,21,5,10,0.043874080095999995,0.027174635659600002,0.61937790148852645,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,blaCTXM~~~blaCTXM15,5,0.028847354199999998,1,5,1,0.1253784775282,0.028847354199999998,0.23008218610336595,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,tnp~~~traO,5,0.0152816294,2.2,5,2,0.1253784775282,0.0441289836,0.35196617848605277,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,group_8522,5,0.00908946224,7.2,5,3,0.1253784775282,0.053218445839999996,0.4244623709681764,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,Clusters_1,5,0.008586616,4.6,5,4,0.1253784775282,0.061805061839999995,0.49294793698622524,STR,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,Clusters_2,5,0.0072475238600000005,12.6,5,5,0.1253784775282,0.0690525857,0.5507531042117557,STR,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,Clusters_16,5,0.00688406196,7.2,5,6,0.1253784775282,0.07593664766,0.6056593536392273,STR,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,group_7338,5,0.00667805428,6.2,5,7,0.1253784775282,0.08261470194,0.6589225165971438,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,group_10712,5,0.00495140456,17,5,8,0.1253784775282,0.08756610649999999,0.698414179421701,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,group_8611,5,0.00493052504,11,5,9,0.1253784775282,0.092496631539999985,0.737739310315008,PAN,Antibiotics
Cefaclor2ugml,3,XGBoost,shap,tnpA,5,0.004400129684,43,5,10,0.1253784775282,0.09689676122399998,0.772834087112009,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,blaCTXM~~~blaCTXM15,5,0.0373138008,1,5,1,0.14523396472,0.0373138008,0.2569220008001445,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,tnp~~~traO,5,0.0142472882,2.6,5,2,0.14523396472,0.051561089,0.3550208733845822,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,group_1215,5,0.0113469829,3.8,5,3,0.14523396472,0.0629080719,0.4331498628525494,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,Clusters_1,5,0.00861562266,5.4,5,4,0.14523396472,0.07152369456,0.4924722305687394,STR,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,blaOXA232,5,0.00697912446,9.4,5,5,0.14523396472,0.07850281902,0.5405265853021878,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,Clusters_16,5,0.0067694431,9,5,6,0.14523396472,0.08527226212,0.5871371912513607,STR,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,xerD~~~intI1,5,0.006140926514,19.8,5,7,0.14523396472,0.091413188634,0.6294201828769025,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,group_8553,5,0.0058317388,13.4,5,8,0.14523396472,0.097244927434,0.6695742805168253,PAN,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,Clusters_6,5,0.00511995628,14.8,5,9,0.14523396472,0.102364883714,0.7048274410972095,STR,Antibiotics
Cefaclor4ugml,3,XGBoost,shap,Clusters_2,5,0.0045266965999999995,21.2,5,10,0.14523396472,0.106891580314,0.735995746725491,STR,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,blaCTXM~~~blaCTXM15,5,0.058662508,1.4,5,1,0.24972414071400006,0.058662508,0.23490923958042179,PAN,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,tnp~~~traO,5,0.0398252414,1.6,5,2,0.24972414071400006,0.0984877494,0.3943861779578388,PAN,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,group_8522,5,0.012729664,4.6,5,3,0.24972414071400006,0.1112174134,0.4453610815598851,PAN,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,Clusters_1,5,0.0103935044,5.8,5,4,0.24972414071400006,0.12161091780000001,0.4869810241504707,STR,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,group_9790,5,0.010140467700000001,5.8,5,5,0.24972414071400006,0.1317513855,0.5275877018669575,PAN,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,blaOXA232,5,0.00939784982,9.8,5,6,0.24972414071400006,0.14114923532,0.5652206267140711,PAN,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,Clusters_9,5,0.00924527494,8.4,5,7,0.24972414071400006,0.15039451026,0.60224257787012,STR,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,Clusters_8,5,0.0072796928,10.4,5,8,0.24972414071400006,0.15767420306,0.6313935152972595,STR,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,group_3749,5,0.0066424423,11.6,5,9,0.24972414071400006,0.16431664535999999,0.6579926349538863,PAN,Antibiotics
Cefaclor8ugml,3,XGBoost,shap,Clusters_16,5,0.00628744116,13,5,10,0.24972414071400006,0.17060408651999998,0.6831701814338671,STR,Antibiotics
Cefepime003ugml,3,XGBoost,shap,blaCTXM~~~blaCTXM15,5,0.0256239514,1,5,1,0.12346192836079999,0.0256239514,0.2075453683593669,PAN,Antibiotics
Cefepime003ugml,3,XGBoost,shap,tnp~~~traO,5,0.011062656664,33.2,5,2,0.12346192836079999,0.036686608064,0.2971491580529067,PAN,Antibiotics
Cefepime003ugml,3,XGBoost,shap,group_8522,5,0.01059245792,3.4,5,3,0.12346192836079999,0.047279065984,0.38294449642673356,PAN,Antibiotics
Cefepime003ugml,3,XGBoost,shap,Clusters_16,5,0.00962620664,5,5,4,0.12346192836079999,0.056905272624,0.46091352516139555,STR,Antibiotics
Cefepime003ugml,3,XGBoost,shap,group_8611,5,0.0045954685,15.4,5,5,0.12346192836079999,0.061500741123999995,0.4981352708526696,PAN,Antibiotics
Cefepime003ugml,3,XGBoost,shap,dctM,5,0.00395437212,15.6,5,6,0.12346192836079999,0.065455113244,0.5301643519832017,PAN,Antibiotics
Cefepime003ugml,3,XGBoost,shap,Clusters_1,5,0.00391787696,17.6,5,7,0.12346192836079999,0.06937299020399999,0.561897834620461,STR,Antibiotics
Cefepime003ugml,3,XGBoost,shap,group_8988,5,0.00334425888,28.4,5,8,0.12346192836079999,0.072717249084,0.5889852041796573,PAN,Antibiotics
Cefepime003ugml,3,XGBoost,shap,Clusters_10,5,0.002853332248,42.4,5,9,0.12346192836079999,0.075570581332,0.6120962335138301,STR,Antibiotics
Cefepime003ugml,3,XGBoost,shap,group_7265,5,0.0028332898619999997,44.2,5,10,0.12346192836079999,0.078403871194,0.6350449262778061,PAN,Antibiotics
Cefepime006ugml,3,XGBoost,shap,Clusters_1,5,0.0277744632,1.2,5,1,0.1827590374444001,0.0277744632,0.15197313133392754,STR,Antibiotics
Cefepime006ugml,3,XGBoost,shap,blaCTXM~~~blaCTXM15,5,0.0192061172,2,5,2,0.1827590374444001,0.0469805804,0.25706296693695746,PAN,Antibiotics
Cefepime006ugml,3,XGBoost,shap,group_8522,5,0.013270297300000001,5.2,5,3,0.1827590374444001,0.0602508777,0.32967386205636934,PAN,Antibiotics
Cefepime006ugml,3,XGBoost,shap,Clusters_6,5,0.0092869232,7.8,5,4,0.1827590374444001,0.0695378009,0.3804889863307315,STR,Antibiotics
