target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
Alanine,3,XGBoost,shap,Clusters_2,5,0.00568648036,8.4,5,4,0.07878854765039997,0.02506445644,0.31812309259990224,STR,Carbon source utilisation
Alanine,3,XGBoost,shap,group_315,5,0.00540068406,7.6,5,5,0.07878854765039997,0.0304651405,0.38666965451856944,PAN,Carbon source utilisation
Alanine,3,XGBoost,shap,Clusters_7,5,0.00504366058,23.8,5,6,0.07878854765039997,0.03550880108,0.45068480304471936,STR,Carbon source utilisation
Alanine,3,XGBoost,shap,group_9488,5,0.0039660339,23.6,5,7,0.07878854765039997,0.03947483498,0.5010224982843633,PAN,Carbon source utilisation
Alanine,3,XGBoost,shap,group_6437,5,0.0038053491599999998,20,5,8,0.07878854765039997,0.04328018414,0.5493207506761332,PAN,Carbon source utilisation
Alanine,3,XGBoost,shap,group_7214,5,0.003752892968,48.8,5,9,0.07878854765039997,0.047033077108,0.5969532185907889,PAN,Carbon source utilisation
Alanine,3,XGBoost,shap,Clusters_6,5,0.00354913706,31.4,5,10,0.07878854765039997,0.050582214167999996,0.6419995757815344,STR,Carbon source utilisation
Ampicillin128ugml,3,XGBoost,shap,Clusters_2,5,0.00853164846,1.4,5,1,0.0343624185912,0.00853164846,0.2482842829399937,STR,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,Clusters_4,5,0.0047043161399999995,5,5,2,0.0343624185912,0.013235964599999999,0.3851872232122115,STR,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,X3500855...A.G.....GT,5,0.00466502328,14,5,3,0.0343624185912,0.017900987879999997,0.5209466799459899,SNP,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,X171889...T.C.....GT,5,0.0036292468200000002,13.8,5,4,0.0343624185912,0.021530234699999998,0.6265634254718542,SNP,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,Clusters_3,5,0.0020955161,35.8,5,5,0.0343624185912,0.023625750799999998,0.6875462138177435,STR,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,Clusters_8,5,0.0017588608522000001,61.2,5,6,0.0343624185912,0.025384611652199997,0.7387318091369982,STR,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,mrkJ~~~eAL,5,0.00144960854,44.2,5,7,0.0343624185912,0.026834220192199998,0.7809176796150221,PAN,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,Clusters_11,5,0.001374565892,62.4,5,8,0.0343624185912,0.028208786084199997,0.8209196919399641,STR,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,Clusters_7,5,0.00132378312,45.4,5,9,0.0343624185912,0.0295325692042,0.859443846358449,STR,Antibiotics
Ampicillin128ugml,3,XGBoost,shap,Clusters_5,5,0.0012592456779999999,75.4,5,10,0.0343624185912,0.030791814882199998,0.896089860510738,STR,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,Clusters_2,5,0.00754334196,1.6,5,1,0.04121748007780001,0.00754334196,0.18301317658822355,STR,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,Clusters_4,5,0.00492577194,11.2,5,2,0.04121748007780001,0.0124691139,0.3025200443225529,STR,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,X781607...T.C.....GT,5,0.0045599079,4.8,5,3,0.04121748007780001,0.017029021800000002,0.4131504829469655,SNP,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,tesA,5,0.003482565694,52,5,4,0.04121748007780001,0.020511587494000002,0.49764292856534115,PAN,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,Clusters_9,5,0.002930752052,54.8,5,5,0.04121748007780001,0.023442339546,0.5687475192988858,STR,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,X565823...A.G.....GT,5,0.00266566606,22.4,5,6,0.04121748007780001,0.026108005606,0.6334207126859736,SNP,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,Clusters_8,5,0.002079658952,39.8,5,7,0.04121748007780001,0.028187664558,0.683876464664856,STR,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,Clusters_3,5,0.00193179772,25.6,5,8,0.04121748007780001,0.030119462278,0.7307448738047072,STR,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,X2278233...G.A.....GT,5,0.00164448708,31,5,9,0.04121748007780001,0.031763949358000004,0.7706426811644961,SNP,Antibiotics
Ampicillin256ugml,3,XGBoost,shap,group_7007,5,0.00152429272,46.8,5,10,0.04121748007780001,0.033288242078000005,0.8076243869146493,PAN,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,X781607...T.C.....GT,5,0.00623037596,1.8,5,1,0.02924104148400001,0.00623037596,0.21306956400335847,SNP,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,Clusters_2,5,0.00582662982,3.2,5,2,0.02924104148400001,0.012057005780000001,0.412331612285332,STR,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,proQ~~~finO,5,0.002134923494,29.2,5,3,0.02924104148400001,0.014191929274000002,0.4853428111226983,PAN,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,fimB~~~intA,5,0.002008543886,31.2,5,4,0.02924104148400001,0.016200473160000003,0.5540320158864557,PAN,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,group_7235,5,0.0019330320000000001,19.2,5,5,0.02924104148400001,0.018133505160000004,0.6201388267898125,PAN,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,Clusters_3,5,0.001719873,35.6,5,6,0.02924104148400001,0.019853378160000004,0.6789559178616567,STR,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,Clusters_6,5,0.00142823846,38.4,5,7,0.02924104148400001,0.021281616620000006,0.7277995426956592,STR,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,Clusters_4,5,0.00133926824,42,5,8,0.02924104148400001,0.022620884860000006,0.7736005187222079,STR,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,group_10699,5,0.001040722438,49,5,9,0.02924104148400001,0.023661607298000008,0.8091916736600189,PAN,Antibiotics
Ampicillin32ugml,3,XGBoost,shap,Clusters_5,5,0.00100762986,86.6,5,10,0.02924104148400001,0.02466923715800001,0.8436511117943053,STR,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,Clusters_2,5,0.00512339306,3.2,5,1,0.02666938084,0.00512339306,0.19210768674148193,STR,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,group_3941,5,0.0035805014,17.6,5,2,0.02666938084,0.00870389446,0.32636282455217286,PAN,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,group_8730,5,0.00288122296,12.8,5,3,0.02666938084,0.01158511742,0.43439768960155584,PAN,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,group_10674,5,0.00197063898,22.6,5,4,0.02666938084,0.0135557564,0.5082891305698569,PAN,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,group_6053,5,0.001786077054,38.8,5,5,0.02666938084,0.015341833454,0.5752602036785793,PAN,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,Clusters_4,5,0.00158266432,38.8,5,6,0.02666938084,0.016924497774,0.6346040755702823,STR,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,Clusters_3,5,0.001521476896,35.6,5,7,0.02666938084,0.01844597467,0.6916536525787601,STR,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,Clusters_6,5,0.001350001,37.8,5,8,0.02666938084,0.01979597567,0.7422735379109011,STR,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,mrkJ~~~eAL,5,0.0013313735,42.6,5,9,0.02666938084,0.02112734917,0.7921949630833649,PAN,Antibiotics
Ampicillin64ugml,3,XGBoost,shap,Clusters_12,5,0.001083545458,114.8,5,10,0.02666938084,0.022210894628,0.8328237824961819,STR,Antibiotics
Anaerobic,3,XGBoost,shap,Clusters_2,5,0.0166863448,1,5,1,0.07268821803100003,0.0166863448,0.2295605154728599,STR,Environmental stress
Anaerobic,3,XGBoost,shap,Clusters_3,5,0.00559945008,7.8,5,2,0.07268821803100003,0.02228579488,0.3065943213863843,STR,Environmental stress
Anaerobic,3,XGBoost,shap,X2167796...C.G.....GT,5,0.0053715334000000005,16.4,5,3,0.07268821803100003,0.02765732828,0.38049258915942497,SNP,Environmental stress
