row	column	strain	r_c
10	44	J738	10 44
9	45	R128	9 45
9	46	R128	9 46
10	45	R128	10 45
10	46	R128	10 46
9	47	J685	9 47
9	48	J685	9 48
10	47	J685	10 47
10	48	J685	10 48
11	1	RKPB153	11 1
11	2	RKPB153	11 2
12	1	RKPB153	12 1
12	2	RKPB153	12 2
11	3	RKPB439	11 3
11	4	RKPB439	11 4
12	3	RKPB439	12 3
12	4	RKPB439	12 4
11	5	RKPB154	11 5
11	6	RKPB154	11 6
12	5	RKPB154	12 5
12	6	RKPB154	12 6
11	7	RKPB419	11 7
11	8	RKPB419	11 8
12	7	RKPB419	12 7
12	8	RKPB419	12 8
11	9	RKPB155	11 9
11	10	RKPB155	11 10
12	9	RKPB155	12 9
12	10	RKPB155	12 10
11	11	RKPB420	11 11
11	12	RKPB420	11 12
12	11	RKPB420	12 11
12	12	RKPB420	12 12
11	13	RKPB156	11 13
11	14	RKPB156	11 14
12	13	RKPB156	12 13
12	14	RKPB156	12 14
11	15	RKPB421	11 15
11	16	RKPB421	11 16
12	15	RKPB421	12 15
12	16	RKPB421	12 16
11	17	RKPB157	11 17
11	18	RKPB157	11 18
12	17	RKPB157	12 17
12	18	RKPB157	12 18
11	19	RKPB422	11 19
11	20	RKPB422	11 20
12	19	RKPB422	12 19
12	20	RKPB422	12 20
11	21	RKPB136	11 21
11	22	RKPB136	11 22
12	21	RKPB136	12 21
12	22	RKPB136	12 22
11	23	RKPB423	11 23
11	24	RKPB423	11 24
12	23	RKPB423	12 23
12	24	RKPB423	12 24
11	25	RKPB137	11 25
11	26	RKPB137	11 26
12	25	RKPB137	12 25
12	26	RKPB137	12 26
11	27	RKPB425	11 27
11	28	RKPB425	11 28
12	27	RKPB425	12 27
12	28	RKPB425	12 28
11	29	RKPB138	11 29
11	30	RKPB138	11 30
12	29	RKPB138	12 29
12	30	RKPB138	12 30
11	31	RKPB426	11 31
11	32	RKPB426	11 32
12	31	RKPB426	12 31
12	32	RKPB426	12 32
11	33	RKPB139	11 33
11	34	RKPB139	11 34
12	33	RKPB139	12 33
12	34	RKPB139	12 34
11	35	RKPB427	11 35
11	36	RKPB427	11 36
12	35	RKPB427	12 35
12	36	RKPB427	12 36
11	37	RKPB140	11 37
11	38	RKPB140	11 38
12	37	RKPB140	12 37
12	38	RKPB140	12 38
11	39	RKPB429	11 39
11	40	RKPB429	11 40
12	39	RKPB429	12 39
12	40	RKPB429	12 40
11	41	RKPB142	11 41
11	42	RKPB142	11 42
12	41	RKPB142	12 41
12	42	RKPB142	12 42
11	43	HKPU103	11 43
11	44	HKPU103	11 44
12	43	HKPU103	12 43
12	44	HKPU103	12 44
11	45	RKPB144	11 45
11	46	RKPB144	11 46
12	45	RKPB144	12 45
12	46	RKPB144	12 46
11	47	HKPU105	11 47
11	48	HKPU105	11 48
12	47	HKPU105	12 47
12	48	HKPU105	12 48
13	1	R224	13 1
13	2	R224	13 2
14	1	R224	14 1
14	2	R224	14 2
13	3	J666	13 3
