row	column	strain	r_c
8	31	RKPU020	8 31
8	32	RKPU020	8 32
7	33	JKPB538	7 33
7	34	JKPB538	7 34
8	33	JKPB538	8 33
8	34	JKPB538	8 34
7	35	RKPU035	7 35
7	36	RKPU035	7 36
8	35	RKPU035	8 35
8	36	RKPU035	8 36
7	37	JKPB539	7 37
7	38	JKPB539	7 38
8	37	JKPB539	8 37
8	38	JKPB539	8 38
7	39	RKPU049	7 39
7	40	RKPU049	7 40
8	39	RKPU049	8 39
8	40	RKPU049	8 40
7	41	JKPB541	7 41
7	42	JKPB541	7 42
8	41	JKPB541	8 41
8	42	JKPB541	8 42
7	43	RKPU054	7 43
7	44	RKPU054	7 44
8	43	RKPU054	8 43
8	44	RKPU054	8 44
7	45	JKPB543	7 45
7	46	JKPB543	7 46
8	45	JKPB543	8 45
8	46	JKPB543	8 46
7	47	RKPU059	7 47
7	48	RKPU059	7 48
8	47	RKPU059	8 47
8	48	RKPU059	8 48
9	1	G3	9 1
9	2	G3	9 2
10	1	G3	10 1
10	2	G3	10 2
9	3	240	9 3
9	4	240	9 4
10	3	240	10 3
10	4	240	10 4
9	5	Q54	9 5
9	6	Q54	9 6
10	5	Q54	10 5
10	6	Q54	10 6
9	7	247	9 7
9	8	247	9 8
10	7	247	10 7
10	8	247	10 8
9	9	R186	9 9
9	10	R186	9 10
10	9	R186	10 9
10	10	R186	10 10
9	11	R146	9 11
9	12	R146	9 12
10	11	R146	10 11
10	12	R146	10 12
9	13	R185	9 13
9	14	R185	9 14
10	13	R185	10 13
10	14	R185	10 14
9	15	MKP103	9 15
9	16	MKP103	9 16
10	15	MKP103	10 15
10	16	MKP103	10 16
9	17	N135	9 17
9	18	N135	9 18
10	17	N135	10 17
10	18	N135	10 18
9	19	222A	9 19
9	20	222A	9 20
10	19	222A	10 19
10	20	222A	10 20
9	21	N162	9 21
9	22	N162	9 22
10	21	N162	10 21
10	22	N162	10 22
9	23	242F	9 23
9	24	242F	9 24
10	23	242F	10 23
10	24	242F	10 24
9	25	N285	9 25
9	26	N285	9 26
10	25	N285	10 25
10	26	N285	10 26
9	27	248	9 27
9	28	248	9 28
10	27	248	10 27
10	28	248	10 28
9	29	N242	9 29
9	30	N242	9 30
10	29	N242	10 29
10	30	N242	10 30
9	31	303	9 31
9	32	303	9 32
10	31	303	10 31
10	32	303	10 32
9	33	N348	9 33
9	34	N348	9 34
10	33	N348	10 33
10	34	N348	10 34
9	35	304	9 35
9	36	304	9 36
10	35	304	10 35
10	36	304	10 36
9	37	MKPR043	9 37
9	38	MKPR043	9 38
10	37	MKPR043	10 37
10	38	MKPR043	10 38
9	39	305	9 39
9	40	305	9 40
10	39	305	10 39
10	40	305	10 40
9	41	M351	9 41
9	42	M351	9 42
10	41	M351	10 41
10	42	M351	10 42
9	43	HKPB56	9 43
9	44	HKPB56	9 44
10	43	HKPB56	10 43
10	44	HKPB56	10 44
9	45	HKPU022	9 45
9	46	HKPU022	9 46
10	45	HKPU022	10 45
10	46	HKPU022	10 46
9	47	309	9 47
9	48	309	9 48
10	47	309	10 47
10	48	309	10 48
11	1	RKPR134	11 1
11	2	RKPR134	11 2
12	1	RKPR134	12 1
12	2	RKPR134	12 2
11	3	MKPB245	11 3
11	4	MKPB245	11 4
12	3	MKPB245	12 3
12	4	MKPB245	12 4
11	5	JKPB546	11 5
11	6	JKPB546	11 6
12	5	JKPB546	12 5
12	6	JKPB546	12 6
11	7	MKPR222	11 7
11	8	MKPR222	11 8
12	7	MKPR222	12 7
12	8	MKPR222	12 8
11	9	JKPB547	11 9
11	10	JKPB547	11 10
12	9	JKPB547	12 9
12	10	JKPB547	12 10
11	11	MKPR224	11 11
11	12	MKPR224	11 12
12	11	MKPR224	12 11
12	12	MKPR224	12 12
11	13	JKPB548	11 13
11	14	JKPB548	11 14
12	13	JKPB548	12 13
12	14	JKPB548	12 14
11	15	MKPR228	11 15
11	16	MKPR228	11 16
12	15	MKPR228	12 15
12	16	MKPR228	12 16
11	17	JKPB549	11 17
11	18	JKPB549	11 18
12	17	JKPB549	12 17
12	18	JKPB549	12 18
11	19	MKPR230	11 19
11	20	MKPR230	11 20
12	19	MKPR230	12 19
12	20	MKPR230	12 20
11	21	JKPB600	11 21
11	22	JKPB600	11 22
12	21	JKPB600	12 21
12	22	JKPB600	12 22
11	23	MKPU060	11 23
11	24	MKPU060	11 24
12	23	MKPU060	12 23
12	24	MKPU060	12 24
11	25	JKPB601	11 25
11	26	JKPB601	11 26
12	25	JKPB601	12 25
12	26	JKPB601	12 26
11	27	RKPU109	11 27
11	28	RKPU109	11 28
12	27	RKPU109	12 27
12	28	RKPU109	12 28
11	29	JKPB602	11 29
11	30	JKPB602	11 30
12	29	JKPB602	12 29
12	30	JKPB602	12 30
11	31	RKPU110	11 31
11	32	RKPU110	11 32
12	31	RKPU110	12 31
12	32	RKPU110	12 32
11	33	JKPB603	11 33
11	34	JKPB603	11 34
12	33	JKPB603	12 33
12	34	JKPB603	12 34
11	35	RKPU115	11 35
11	36	RKPU115	11 36
12	35	RKPU115	12 35
12	36	RKPU115	12 36
11	37	JKPB604	11 37
11	38	JKPB604	11 38
12	37	JKPB604	12 37
12	38	JKPB604	12 38
11	39	RKPU120	11 39
11	40	RKPU120	11 40
12	39	RKPU120	12 39
12	40	RKPU120	12 40
11	41	JKPB605	11 41
11	42	JKPB605	11 42
12	41	JKPB605	12 41
12	42	JKPB605	12 42
11	43	RKPU125	11 43
11	44	RKPU125	11 44
12	43	RKPU125	12 43
12	44	RKPU125	12 44
11	45	JKPB606	11 45
11	46	JKPB606	11 46
12	45	JKPB606	12 45
12	46	JKPB606	12 46
11	47	RKPU132	11 47
11	48	RKPU132	11 48
12	47	RKPU132	12 47
12	48	RKPU132	12 48
13	1	M387	13 1
13	2	M387	13 2
14	1	M387	14 1
14	2	M387	14 2
13	3	311	13 3
13	4	311	13 4
14	3	311	14 3
14	4	311	14 4
13	5	M397	13 5
13	6	M397	13 6
14	5	M397	14 5
14	6	M397	14 6
13	7	RKPU086	13 7
13	8	RKPU086	13 8
14	7	RKPU086	14 7
14	8	RKPU086	14 8
13	9	KP001	13 9
13	10	KP001	13 10
14	9	KP001	14 9
14	10	KP001	14 10
13	11	313	13 11
13	12	313	13 12
14	11	313	14 11
14	12	313	14 12
13	13	KP002	13 13
13	14	KP002	13 14
14	13	KP002	14 13
14	14	KP002	14 14
13	15	314	13 15
13	16	314	13 16
14	15	314	14 15
14	16	314	14 16
13	17	KP004	13 17
13	18	KP004	13 18
14	17	KP004	14 17
14	18	KP004	14 18
13	19	316	13 19
13	20	316	13 20
14	19	316	14 19
14	20	316	14 20
13	21	KP006	13 21
13	22	KP006	13 22
14	21	KP006	14 21
14	22	KP006	14 22
13	23	318	13 23
13	24	318	13 24
14	23	318	14 23
14	24	318	14 24
13	25	KP005	13 25
13	26	KP005	13 26
14	25	KP005	14 25
14	26	KP005	14 26
13	27	317	13 27
13	28	317	13 28
14	27	317	14 27
14	28	317	14 28
13	29	KP007	13 29
13	30	KP007	13 30
14	29	KP007	14 29
14	30	KP007	14 30
13	31	319	13 31
13	32	319	13 32
14	31	319	14 31
14	32	319	14 32
13	33	KP008	13 33
13	34	KP008	13 34
14	33	KP008	14 33
14	34	KP008	14 34
13	35	322	13 35
13	36	322	13 36
14	35	322	14 35
14	36	322	14 36
13	37	KP009	13 37
13	38	KP009	13 38
14	37	KP009	14 37
14	38	KP009	14 38
13	39	323	13 39
13	40	323	13 40
14	39	323	14 39
14	40	323	14 40
13	41	KP010	13 41
13	42	KP010	13 42
14	41	KP010	14 41
14	42	KP010	14 42
13	43	324	13 43
13	44	324	13 44
14	43	324	14 43
14	44	324	14 44
13	45	KP013	13 45
13	46	KP013	13 46
14	45	KP013	14 45
14	46	KP013	14 46
13	47	325	13 47
13	48	325	13 48
14	47	325	14 47
14	48	325	14 48
15	1	JKPB607	15 1
15	2	JKPB607	15 2
16	1	JKPB607	16 1
16	2	JKPB607	16 2
15	3	RKPU141	15 3
15	4	RKPU141	15 4
16	3	RKPU141	16 3
16	4	RKPU141	16 4
15	5	JKPB608	15 5
15	6	JKPB608	15 6
16	5	JKPB608	16 5
16	6	JKPB608	16 6
15	7	RKPU156	15 7
15	8	RKPU156	15 8
16	7	RKPU156	16 7
16	8	RKPU156	16 8
15	9	MKPU108	15 9
15	10	MKPU108	15 10
16	9	MKPU108	16 9
16	10	MKPU108	16 10
15	11	RKPU159	15 11
15	12	RKPU159	15 12
16	11	RKPU159	16 11
16	12	RKPU159	16 12
15	13	JKPB610	15 13
15	14	JKPB610	15 14
16	13	JKPB610	16 13
16	14	JKPB610	16 14
15	15	RKPU161	15 15
15	16	RKPU161	15 16
16	15	RKPU161	16 15
16	16	RKPU161	16 16
15	17	JKPB611	15 17
15	18	JKPB611	15 18
16	17	JKPB611	16 17
16	18	JKPB611	16 18
15	19	RKPU162	15 19
15	20	RKPU162	15 20
16	19	RKPU162	16 19
16	20	RKPU162	16 20
15	21	JKPB612	15 21
15	22	JKPB612	15 22
16	21	JKPB612	16 21
16	22	JKPB612	16 22
15	23	RKPU166	15 23
15	24	RKPU166	15 24
16	23	RKPU166	16 23
