Gene,Annotation
group_4096,Acetylornithine/succinyldiaminopimelate aminotransferase
group_3805,Fimbrial protein;Type 1 fimbrial protein
group_3759,arginine N-succinyltransferase
group_3549,HNH nuclease domain-containing protein
group_3206,Pili assembly chaperone;Molecular chaperone
group_3205,Fimbrial adhesin;Fimbrial protein
astD,succinylglutamate-semialdehyde dehydrogenase
group_2995,IS21 family transposase
group_2795,DUF6387 domain-containing protein;Phage protein
group_2767,DUF1028 domain-containing protein
group_2663,hypothetical protein
group_2214,Long polar fimbrial outer membrane usher protein;fimbria/pilus outer membrane usher protein;Fimbrial biogenesis outer membrane usher protein;Fimbrial usher family protein
astE,succinylglutamate desuccinylase
alr,alanine racemase
nadS,NadS family protein
group_1792,DUF4054 domain-containing protein
group_1764,Histidine ABC transporter permease HisM
group_1729,hypothetical protein
group_1461,hypothetical protein
perC,PerC family transcriptional regulator
group_1430,phage tail length tape measure family protein;hypothetical protein;Phage tail tape measure protein
group_1152,hypothetical protein
group_1139,Type II toxin-antitoxin system RelE/ParE family toxin
group_950,IS21-like element ISEc10 family helper ATPase IstB
group_696,DNA primase
group_660,histidine ABC transporter ATP-binding protein HisP
rmtF1,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF1
group_470,hypothetical protein
potC,ABC-type spermidine/putrescine transport system permease component II
group_21379,ABC transporter permease
group_21378,phosphotransferase
group_21377,Amino acid ABC transporter
group_21376,HTH gntR-type domain-containing protein
group_21375,ABC transporter permease
group_21374,4-aminobutyrate aminotransferase;Aspartate aminotransferase family protein
group_21373,Multidrug DMT transporter permease
group_21372,ABC transporter domain-containing protein
group_11725,Site-specific recombinase XerD;hypothetical protein;site-specific integrase
group_11624,Bacteriophage protein;hypothetical protein
group_11512,DUF1682 domain-containing protein
glxR,2-hydroxy-3-oxopropionate reductase
group_11282,Putative PhoPQ-activated integral membrane protein
group_11169,Integrating conjugative element protein PilL PFGI-1 class
group_11103,carbamate kinase
group_10821,molecular chaperone
group_10730,head decoration
group_10702,DNA-binding transcriptional activator AllS
group_10194,hypothetical protein
group_10017,hypothetical protein
group_9745,ArsR family transcriptional regulator
allA,ureidoglycolate hydrolase
group_9474,Inner membrane protein;Cellulose biosynthesis protein BcsF
group_9348,Encapsulating for peroxidase
group_9112,hypothetical protein;ATP-binding protein
group_9010,ureidoglycolate dehydrogenase
group_9004,DUF2207 domain-containing protein
group_8943,conjugal transfer protein TraP;conjugal transfer pilus-stabilizing protein TraP
group_8774,hypothetical protein
group_7884,IS1 family transposase;Transposase and inactivated derivatives IS1 family;IS1 family transposase ORF B
group_7629,hypothetical protein;RiboL-PSP-HEPN domain-containing protein
group_7486,Fimbrial chaperone
lemA,Magnetosome formation protein MamQ lipoprotein antigen LemA family
group_7382,Antitoxin;Virulence-associated protein VagC (function unknown);Virulence-associated protein VagC;AbrB/MazE/SpoVT family DNA-binding domain-containing protein
group_7269,phosphoadenosine phosphosulfate reductase family protein;hypothetical protein;Phosphoadenosine phosphosulfate reductase;PUA domain (putative RNA-binding domain)
group_7169,glycerate 3-kinase
group_7139,hypothetical protein;IS21 family ISEc10 transposase;IS21 family transposase;Transposase
group_7061,type I restriction enzyme HsdR N-terminal domain-containing protein;Type I restriction enzyme R protein N-terminal domain-containing protein
group_7016,Zorya protein ZorC EH domain-containing protein;EH signature protein;hypothetical protein
ardB,Antirestriction ArdB family protein;antirestriction protein;Antirestriction protein
group_6439,Ead protein;Ead domain protein;EaD protein;Ead/Ea22-like family protein
group_6306,hypothetical protein
group_6262,DUF4942 domain-containing protein;Restriction methylase
group_6217,hypothetical protein
group_5936,Toxin SymE-like domain-containing protein;hypothetical protein;DUF1813 domain-containing protein
yeeV~~~cbtA,YeeV toxin protein;Toxin;type IV toxin-antitoxin system toxin CbtA;Toxin of the CbtA-CbeA toxin-antitoxin system
group_5405,hypothetical protein
allC,allantoate amidohydrolase
group_5115,MFS transporter
ylbE,Uncharacterized protein YlbE
group_4494,uracil/xanthine transporter
allB,allantoinase
group_4013,Integrase regulator R;DUF3158 domain-containing protein
catB,type B chloramphenicol O-acetyltransferase
group_3797,Cytoplasmic protein
group_3559,hypothetical protein;Fur-regulated protein
group_3393,Helix-turn-helix domain-containing protein;helix-turn-helix domain-containing protein
group_3284,hypothetical protein
group_3257,putative allantoin permease
group_3134,hypothetical protein;head-tail connector protein
group_2986,Bacteriophage protein
mobQ,MobQ family relaxase;MobA/MobL family protein;MobA/MobL protein domain-containing protein
group_2627,Phage protein
fdrA,Acyl-CoA synthetase FdrA
group_2080,Conjugal transfer protein TraS
gcl,glyoxylate carboligase
group_1348,Molecular chaperone
group_938,Phage protein
hyi,hydroxypyruvate isomerase
allE,(S)-ureidoglycine aminohydrolase
group_315,Arc-like DNA binding domain protein
group_199,Carboxylase
group_162,Fimbrial chaperone protein
group_161,P pilus assembly protein pilin FimA
allR,DNA-binding transcriptional repressor AllR
group_21309,Tn3 transposase DDE domain-containing protein;DUF4158 domain-containing protein;Tn3 family transposase
group_21205,Helix-turn-helix domain-containing protein;helix-turn-helix domain-containing protein
group_14325,Dihydrdoorotate oxidase B electron transfer subunit
group_14324,Outer membrane porin OprD family
group_14323,hypothetical protein
group_14322,MFS transporter
group_14321,Zn-dependent hydrolase
group_14320,dihydroorotase
group_14319,dihydroorotate dehydrogenase
group_14318,Transcriptional regulator
group_12370,CopG family transcriptional regulator
group_12367,Iron-sulfur cluster carrier protein
yfdN~~~perC,Uncharacterized protein YfdN;PerC family transcriptional regulator
group_12168,LexA family transcriptional regulator
group_12164,Prophage protein
yfdQ,Uncharacterized protein YfdQ
group_12026,Lipoprotein
group_11987,Group 1 glycosyl transferase
group_11827,LysR family transcriptional regulator
group_11766,Integrase
group_11682,KilA-N domain-containing protein;DNA-binding protein
group_11441,Methyltransferase
group_11440,Transport permease protein;O8 family O-antigen export ABC transporter permease subunit
spnT,SpnT protein
group_11237,HTH lysR-type domain-containing protein
group_11011,Phage protein
group_10905,HTH lysR-type domain-containing protein
group_10193,HNH domain-containing protein
group_10076,hypothetical protein
group_9891,HNH nuclease domain-containing protein
group_9730,hypothetical protein
group_9269,Transposase
group_9077,site-specific DNA-methyltransferase (adenine-specific)
group_8981,hypothetical protein;TetR/AcrR family transcriptional regulator
group_8773,Lipoprotein
group_8333,AlpA family transcriptional regulator;Phage protein;AlpA family phage regulatory protein
group_8178,Antitermination protein
group_8165,Alkene reductase
group_7815,toxin YdaT family protein;Bacterial toxin YdaT domain-containing protein
group_7539,Holin
group_6987,OsmC family peroxiredoxin
group_6658,Site-specific DNA recombinase SpoIVCA/DNA invertase PinE
flmA,Hok/Gef family protein;Hok;Stable plasmid inheritance protein
group_6180,Lipoprotein
group_6124,Aec77
group_5871,Antitoxin;hypothetical protein;antitoxin
wzt,O8 family O-antigen export ABC transporter ATP-binding subunit
group_5691,Fimbrial protein;hypothetical protein
group_5599,hypothetical protein
group_5521,DNA-binding transcriptional regulator YdaS prophage-encoded Cro superfamily;Rha family transcriptional regulator
group_5299,PDZ domain-containing protein
group_5273,hypothetical protein
group_4922,hypothetical protein
group_4727,DMP family protein
group_4420,type IV conjugative transfer system coupling protein TraD
group_4304,DinI-like protein Z3916/ECs3483
group_4285,hypothetical protein
group_4245,Transglycosylase SLT domain-containing protein
group_4147,Conjugative transfer region lipoprotein TIGR03751 family
group_4012,TIGR03759 family integrating conjugative element protein
group_3996,DUF1419 domain-containing protein;hypothetical protein
group_3865,Putative exported protein
group_3852,hypothetical protein;Repressor
topB,DNA topoisomerase
group_3603,Pilus assembly protein PilL
group_3418,Excisionase
group_3335,TIGR03758 family integrating conjugative element protein
group_3334,TIGR03749 family integrating conjugative element protein
group_3295,phage N-6-adenine-methyltransferase
group_3253,Phage protein
group_2896,Type VI secretion system baseplate subunit TssE;IraD/Gp25-like domain-containing protein
group_2807,Cthe-2314-like HEPN domain-containing protein
group_2446,Phage protein
group_2401,TIGR03745 family integrating conjugative element membrane protein
group_2400,Putative exported protein
group_2193,KPF-28 fimbria major subunit;Type 1 fimbrial protein;Putative fimbrial-like protein;type 1 fimbrial protein
group_2174,Protein-disulfide isomerase
group_1839,Crossover junction endodeoxyribonuclease rusA
group_1495,STY4534 family ICE replication protein
mobA,plasmid mobilization protein MobA
group_1428,Morphogenetic protein;ASCH domain-containing protein;hypothetical protein
group_1129,DUF2157 domain-containing protein
group_1075,hypothetical protein
quuQ,Prophage antitermination Q-like protein QuuQ
trxA,thioredoxin
group_816,Carboxymuconolactone decarboxylase family protein
group_519,TIGR03750 family conjugal transfer protein
group_492,DUF1471 domain-containing protein
group_356,Dopa decarboxylase protein remnant
copG,Ribbon-helix-helix protein CopG domain-containing protein
group_318,Oxidoreductase
group_179,CPS-53 (KpLE1) prophage protein
group_172,Tyr recombinase domain-containing protein
group_56,SMI1/KNR4 family protein
group_21196,hypothetical protein
group_21175,CPS-53 (KpLE1) prophage protein;Caudovirales tail fibre assembly protein
group_20535,Diguanylate phosphodiesterase
group_14807,DUF1778 domain-containing protein
group_14806,GNAT family N-acetyltransferase
group_14521,mercury resistance transcriptional regulator MerR
group_14519,mercury(II) reductase
group_14518,mercuric transport protein MerT
merF,mercury resistance system transport protein MerF
group_14516,mercury resistance system periplasmic binding protein MerP
group_12345,hypothetical protein;thermonuclease family protein;Putative nuclease ParB
group_12339,DNA topoisomerase
group_12308,ATP-dependent metalloprotease
group_12027,PH domain-containing protein
group_11970,Putative transcriptional antiterminator
group_11808,Alpha-galactosidases/6-phospho-beta-glucosidases
group_11751,DNA polymerase V subunit
group_11658,DUF2059 domain-containing protein
blaLAP2,class A beta-lactamase LAP-2
group_11564,Integrase catalytic domain-containing protein
group_11505,Gifsy-1 prophage GlpA
group_11391,tail fiber assembly protein
group_11299,Rap1a immunity protein domain-containing protein
group_11239,phage head closure protein
group_11109,Beta-glucosidase
group_11057,SIR2-like domain-containing protein
group_10922,Phage protein;DUF6516 domain-containing protein
group_10913,Phage tail protein
group_10723,Toxin YafO
group_10497,Helix-turn-helix domain-containing protein
group_10494,Auxin efflux carrier family protein
group_10249,SprT family zinc-dependent metalloprotease
group_10245,Integrase
group_10207,Glycosyltransferase family 2 protein
group_9976,hypothetical protein
group_9896,Glycosyltransferase family 1 protein
group_9885,hypothetical protein
group_9876,Lysozyme
group_9859,Pesticin C-terminal domain-containing protein
group_9629,hypothetical protein
group_9594,hypothetical protein
group_9420,phage terminase small subunit P27 family
group_9264,hypothetical protein;AAA domain-containing protein
group_9128,Prophage protein
group_9069,DUF2635 domain-containing protein
group_9012,hypothetical protein
group_9009,Baseplate protein J-like domain-containing protein
ymfR,Uncharacterized protein YmfR
group_8767,Uncharacterized protein in Eco57IM 5'region
group_8762,hypothetical protein
group_8249,Glycosyltransferase
group_8077,SAVED domain-containing protein
group_7956,Peptidoglycan DD-transpeptidase FtsI;Peptidoglycan glycosyltransferase;Peptidoglycan synthase FtsI
yfdR,5'-deoxynucleotidase
group_7860,putative ATPase
group_7824,DUF551 domain-containing protein
group_7795,Phage-related regulatory protein cII;AAA domain-containing protein
group_7776,Phage protein
group_7697,DNA polymerase III subunit epsilon
group_7573,Glycosyl transferase family 1 domain-containing protein
group_7384,S8 family peptidase
group_7197,Baseplate assembly phage protein
group_7069,hypothetical protein;Glycosyl hydrolase
group_6642,DNA primase TraC;DUF927 domain-containing protein;Bacteriophage T7 Gp4 DNA primase/helicase N-terminal domain-containing protein
group_6558,Phage protein
group_6528,Bacteriophage protein
group_6425,hypothetical protein;DUF551 domain-containing protein
group_6299,helix-turn-helix domain-containing protein;HTH cro/C1-type domain-containing protein;Regulatory protein Cro
group_5993,phospholipase D family protein
group_5968,helix-turn-helix transcriptional regulator;HTH cro/C1-type domain-containing protein
group_5932,N-acetyltransferase domain-containing protein
group_5915,3'-5' exoribonuclease Rv2179c-like domain-containing protein
group_5904,phage major capsid protein
group_5701,Outer membrane protein;DsbA family protein;hypothetical protein
group_5529,Helix-turn-helix domain-containing protein;helix-turn-helix domain-containing protein
group_5499,Ead/Ea22-like family protein;Phage protein;EA22-like protein
ymfL,YmfL family putative regulatory protein
ymfQ,Uncharacterized protein YmfQ
group_5300,phage portal protein
group_5092,hypothetical protein
group_4934,Integrase;Prophage lambda integrase
group_4845,Flippase
group_4724,hypothetical protein
group_4465,Phage protein
group_4340,Tail/DNA circulation protein
group_4264,DNA cytosine methyltransferase;phage N-6-adenine-methyltransferase;hypothetical protein
group_3800,Type VI secretion-associated protein VC_A0118 family;Type VI secretion protein;type VI secretion system-associated protein TagO
group_3386,HK97 family phage prohead protease
group_3325,Phage tail assembly protein
group_3294,Helix-turn-helix domain-containing protein
group_3260,Glucosyl transferase GtrII family protein
group_3017,Tail sheath protein
group_2949,RecT family protein;hypothetical protein;Recombinase RecT family
group_2883,Phage tail protein
group_2874,bacteriophage protein;Bacteriophage protein
group_2715,hypothetical protein
group_2456,DUF2158 domain-containing protein
group_2057,Putative terminase large subunit
group_2049,Putative fimbrial biogenesis outer membrane usher protein
group_1859,DUF4145 domain-containing protein
group_1735,Phage tail tape measure protein
group_1623,Bacteriophage protein
group_1573,PTS system protein
group_1399,Adhesin;hypothetical protein
group_1142,head-tail connector protein
group_1107,Polysaccharide biosynthesis tyrosine autokinase
group_992,Tail protein
group_966,hypothetical protein
group_959,hypothetical protein
group_824,phage holin lambda family
ymfM,Uncharacterized protein YmfM
group_748,Rz1 lytic protein
group_700,Response regulator
group_452,Putative restriction endonuclease;HNH endonuclease
group_423,HNH endonuclease
group_309,Phage tail protein
yfdS,Uncharacterized protein YfdS
group_110,Phage protein
group_21472,hypothetical protein;Replication initiation protein;Plasmid replication initiation protein;Secreted protein
group_21468,ead/Ea22-like family protein;hypothetical protein;Ead/Ea22-like family protein;Phage EaA protein
group_21308,Transposase ERIG_04326;ISNCY family transposase;Transposase (putative) YhgA-like domain-containing protein;Mobile element protein
group_21174,Tail fiber assembly protein;Prophage tail fiber assembly protein TfaE;Tail fiber assembly
group_14818,DUF4440 domain-containing protein
group_14520,mercury resistance co-regulator MerD
group_14517,broad-spectrum mercury transporter MerE
group_13312,hypothetical protein;Ubiquinol--cytochrome c reductase cytochrome Bsubunit
group_13234,hypothetical protein;plasmid stabilization protein;Plasmid stabilization protein
group_13233,TonB-dependent siderophore receptor;TonB-dependent receptor;hypothetical protein
group_13231,entry exclusion protein 1;Entry exclusion protein 1
group_13230,hypothetical protein
group_13229,YncE family protein;hypothetical protein
group_13222,Plasmid stabilization system protein ParE
group_13221,Exc2 family lipoprotein
group_12746,LysE family translocator
group_12743,Excinuclease ABC subunit A
group_12741,GntR family transcriptional regulator domain / Aspartate aminotransferase
group_12740,IS2 repressor TnpA
group_12390,Transglycosylase
actX~~~rfaH,ActX;Transcription antitermination protein RfaH
pilX8,Conjugal transfer protein PilX8
triI,Inner membrane protein of type IV secretion of T-DNA complex TonB-like PilX10;Putative conjugal transfer protein TriI
group_12379,Conjugal transfer protein traG
group_12375,hypothetical protein
group_12373,TrbC/VirB2 family protein
group_12372,Phage protein
group_12371,Pilus assembly protein
group_12357,DUF4102 domain-containing protein
group_12356,Type IV secretion system protein virB4
group_12353,DNA distortion polypeptide 1
group_12344,Pi
group_12343,P-type DNA transfer ATPase VirB11
group_12341,cytochrome ubiquinol oxidase subunit I;hypothetical protein
group_12333,Bis protein;hypothetical protein
group_12332,MobA/VirD2-like nuclease domain-containing protein
group_12331,DnaJ domain-containing protein;Chaperone protein DnaJ
group_12330,Cytoplasmic protein
group_12327,DinQ-like type I toxin DqlB
group_12326,Conjugal transfer protein
triE,Putative conjugal transfer protein TriE
group_12317,hypothetical protein
group_12309,NusG-like N-terminal domain-containing protein;Transcription antitermination protein RfaH
group_11877,DUF502 domain-containing protein
group_11842,Ag43/Cah family autotransporter adhesin;autotransporter domain-containing protein
group_11831,fimbrial major subunit CsuA/B family protein;hypothetical protein
group_11432,hypothetical protein
group_11415,putative GTPase
group_10992,hypothetical protein
group_10933,hypothetical protein
group_10932,N-acetyltransferase;hypothetical protein
group_10834,ROK family protein
group_10714,Transposase;helix-turn-helix domain-containing protein;IS3 family transposase ORF A
group_10309,Nucleoid-associated protein
group_9738,hypothetical protein
group_9603,Glucosamine--fructose-6-phosphate aminotransferase
group_9266,hypothetical protein;Phage protein
group_9117,Nucleotidyltransferase
group_8568,Prophage protein;ash family protein;Host cell division inhibitor Icd-like protein;host cell division inhibitor Icd-like protein
group_8158,AreA
group_8152,hypothetical protein
group_8098,Phage protein;Molecular chaperone;hypothetical protein
group_8096,Replication initiator protein C
group_7766,HEPN AbiU2-like domain-containing protein;HEPN domain-containing protein;hypothetical protein
group_7666,site-specific DNA-methyltransferase (adenine-specific);DNA methylase;DNA adenine methylase
group_7517,Mobilization protein
group_7305,hypothetical protein;DUF2207 domain-containing protein
group_7088,hypothetical protein;TIORF34 protein;CAAX protease
group_6698,DNA replication protein
group_6195,Multidrug ABC transporter ATPase
group_5574,hypothetical protein
group_4969,Cell envelope integrity protein TolA;Tape measure protein;Phage tail tape measure protein;hypothetical protein
group_4460,Inovirus Gp2 family protein
group_4296,hypothetical protein
group_4175,Aldo/keto reductase
group_3825,Arabinose-proton symporter
group_3544,SMODS and SLOG-associating 2TM effector domain-containing protein
group_3150,hypothetical protein;putative nucleotidyltransferase component of viral defense system
group_2830,Phage protein
group_2433,GIY-YIG nuclease family protein;GIY-YIG domain-containing protein
group_2418,Lipoprotein;YfiC
group_2147,hypothetical protein;DUF2251 domain-containing protein
group_2131,HNH nuclease domain-containing protein;hypothetical protein
group_1635,site-specific DNA-methyltransferase (adenine-specific)
group_1436,Bacteriophage protein;Transglycosylase
group_1433,virion structural protein
group_1309,hypothetical protein
group_953,DeoR/GlpR transcriptional regulator
group_509,hypothetical protein
group_39,conjugative transfer relaxase/helicase TraI
group_21513,50S ribosomal protein L33;50S ribosomal protein L13;Bacteriophage protein
group_21484,Replication initiator protein;replication initiation protein;Primase C-terminal 1 domain-containing protein;Replication initiation protein;Plasmid replication protein;Rep protein
group_21371,Transcriptional repressor pifC;transcriptional regulator;Protein C;Transcriptional regulator;Transcriptional repressor PifC;Plasmid F repC-like protein plasmid replication;transcriptional repressor PifC
group_21203,Antitermination protein;Antitermination protein Q
group_21038,Polypeptide-transport-associated domain-containing protein ShlB-type;Hemolysin activation/secretion protein
group_20763,DDE-type integrase/transposase/recombinase;IS3 family transposase
group_18610,Prophage endo-N-neuraminidase;Flagellar biosynthesis cell-distal portion of basal-body rod
group_14695,Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)
group_14420,hypothetical protein
group_12744,IS2 element protein;IS3 family transposase
group_12400,DNA polymerase V
group_12386,DNA binding protein nucleoid-associated
group_12381,DNA distortion polypeptide 3
group_12366,hypothetical protein
group_12364,SprT-like domain-containing protein
group_12348,hypothetical protein
group_12342,Prophage protein
group_12325,Flagellin N-methylase
group_12324,Signal peptidase I;TMhelix containing protein
group_12321,hypothetical protein
group_12313,hypothetical protein
yajA,YajA protein
group_12199,hypothetical protein
group_12142,envelope stress response membrane protein PspB
group_12123,DUF2145 domain-containing protein
group_12074,hypothetical protein
group_11648,hypothetical protein
group_11420,hypothetical protein
group_11366,HNH endonuclease
group_11157,DNA-binding transcriptional regulator LysR family
group_10945,phage head closure protein
group_10870,DUF4760 domain-containing protein
group_10806,hypothetical protein
group_10793,Inner membrane protein
group_10472,Putative DNA helicase;Protein kinase domain-containing protein;DUF2075 domain-containing protein
group_10398,Antirestriction protein ArdC
group_10075,Iron-containing redox enzyme
group_9649,hypothetical protein;Secretoglobin family protein
group_9470,hypothetical protein
group_9293,hypothetical protein
group_9028,pesticin C-terminus-like muramidase;Pesticin C-terminal domain-containing protein
group_8536,YdaB
group_8535,Phage protein
group_8478,hypothetical protein
group_8218,Initiator replication protein RepA
group_8145,Lipoprotein
group_8124,Membrane-bound metal-dependent hydrolase
group_7979,Regulatory protein RepA
group_7719,hypothetical protein;Phage protein
group_7563,DNA cytosine methyltransferase;DNA (cytosine-5-)-methyltransferase
group_7448,DNA-binding transcriptional regulator LysR family
group_7220,Thioester reductase domain of alpha aminoadipate reductase Lys2 and NRPSs
pATA,Patatin-like phospholipase/acyl hydrolase includes sporulation protein CotR
group_7051,RES family NAD+ phosphorylase;RES domain-containing protein
group_7018,Tetratricopeptide repeat protein
ndpA,dsDNA-binding nucleoid-associated protein YejK/NdpA;nucleoid-associated protein
group_6384,putative arabinose efflux permease AraJ MFS family
group_6068,DUF1380 domain-containing protein
group_5991,3-oxoadipyl-CoA thiolase
group_5834,hypothetical protein
group_5795,Phage capsid protein;hypothetical protein
group_5711,Phage integrase family protein;Site-specific recombinase XerD;Putative phage integrase
group_5297,Beta antigen
group_5145,autoinducer 2 ABC transporter substrate-binding protein;Periplasmic binding protein domain-containing protein
group_5071,hypothetical protein
group_5042,hypothetical protein
group_4447,hypothetical protein
group_4011,Transposase
group_3879,AAA family ATPase
group_3573,DNA-binding protein
group_2917,phage shock protein PspA
group_2699,hypothetical protein
group_2511,ATP-binding protein
group_2003,HTH cro/C1-type domain-containing protein
group_1781,Phospholipase D-like domain-containing protein
group_1689,hypothetical protein;Tail fiber protein
group_1512,Aspartate racemase
group_1062,N-acetyltransferase domain-containing protein
group_805,putative membrane transporter protein
pspD,phage shock protein PspD
group_361,hypothetical protein
group_317,XRE family transcriptional regulator;Helix-turn-helix transcriptional regulator
group_235,envelope stress response membrane protein PspC
group_34,RNA polymerase beta subunit
group_21445,KilA-N domain-containing protein;hypothetical protein
group_21367,DUF945 domain-containing protein
group_21339,Replication initiation protein
group_21335,IS110 family transposase;hypothetical protein;IS110 family ISSm1 transposase
group_21256,hypothetical protein;DUF551 domain-containing protein;Phage protein
group_20775,Lipoprotein
group_14357,IS110 family transposase
group_13921,Transposase;DUF4165 domain-containing protein
group_13916,Protein thiol-disulfide isomerase DsbC
group_13904,Thymidylate kinase
group_13903,DnaJ-class molecular chaperone with C-terminal Zn finger domain
group_13902,hypothetical protein
group_13901,hypothetical protein
group_13900,Conjugal transfer protein
group_13899,Conjugative transfer pilus assembly protein
group_13898,Conjugal transfer protein
group_13896,Eaa protein
group_13895,ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ
group_13894,Chromosome segregation protein Spo0J contains ParB-like nuclease domain
group_13893,TraA
group_13892,DNA methylase adenine-specific domain-containing protein
group_13890,Bacteriophage protein
group_13889,type IV conjugative transfer system protein TraL
group_13888,Conjugal transfer protein TraG
group_13887,hypothetical protein
group_13886,Helix-turn-helix domain-containing protein
group_13885,type IV conjugative transfer system lipoprotein TraV
group_13884,IncF plasmid conjugative transfer protein TraD;Type IV secretory pathway VirD4 component TraG/TraD family ATPase
group_13883,Phage protein
group_13882,Lipoprotein
group_13881,MobH family relaxase
group_13880,Cconjugal transfer protein TraK
group_13879,Secreted protein;hypothetical protein
group_13878,DNA topoisomerase I ssDNA-binding Zn-finger and Zn-ribbon domains
group_13877,Sex pilus assembly protein (Modular protein)
group_13875,Lipoprotein
group_13874,Phage head-tail adapter protein
group_13872,Conjugative transfer protein 234
group_13871,DNA (cytosine-5-)-methyltransferase
group_13462,MOP flippase family protein
group_12024,3'-5' exonuclease
group_11984,Plasmid SOS inhibition protein A;Plasmid SOS inhibition protein PsiA
group_11895,Leucine zipper pattern
group_11729,Thioredoxin domain-containing protein
group_11711,DNA-binding protein
group_11653,Transcriptional regulator;Helix-turn-helix transcriptional regulator;Immunity repressor
group_11651,conjugal transfer relaxosome DNA-binding protein TraM
group_11650,Dual specificity protein phosphatase family protein
group_11587,Inner membrane protein
group_11582,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme
group_11531,Putative membrane protein;hypothetical protein
group_11504,hypothetical protein;Large extracellular alpha-helical protein
group_11357,DNA replication terminus site-binding protein
group_11324,Recombinase family protein;recombinase family protein;Resolvase
group_11241,TraG N-terminal Proteobacteria domain-containing protein
group_11050,Histone-like protein H-NS C-terminal domain-containing protein
group_11021,Phage protein
group_10650,Apea-like HEPN domain-containing protein
blaDHA1,extended-spectrum class C beta-lactamase DHA-1
group_10275,Periplasmic serine protease ClpP class
group_10234,hypothetical protein
group_9973,Actin-like protein N-terminal domain-containing protein
group_9945,hypothetical protein
group_9739,tetratricopeptide repeat protein;putative O-linked N-acetylglucosamine transferase SPINDLY family
group_9637,Site-specific recombinase XerD
group_9298,Alginate lyase
group_9179,Nitrite reductase
group_9125,DUF2292 domain-containing protein
group_9072,ATP-NAD/AcoX kinase
group_8933,Initiator Rep protein domain-containing protein
group_8930,Nucleotidyltransferase
group_8859,Integrase
group_8853,polysaccharide pyruvyl transferase family protein
group_8770,helix-turn-helix domain-containing protein;phage shock protein operon transcriptional activator
group_8766,PD-(D/E)XK endonuclease-like domain-containing protein
group_8175,Intergenic-region protein;Inovirus Gp2 family protein
group_8170,putative transcriptional regulator;AlpA family transcriptional regulator
group_8150,glycosyltransferase
group_7970,Phage protein
group_7962,Lipoprotein SmpA/OmlA domain-containing protein;Lipoprotein
group_7900,Cell wall-binding protein
kfrA,ATPase-like KfrA protein
group_7818,hypothetical protein;Minor fimbrial subunit;DUF2541 domain-containing protein
group_7817,hypothetical protein
group_7754,ATP-dependent zinc metalloprotease FtsH
group_7735,TA system toxin CbtA family protein;YeeV toxin protein;hypothetical protein;toxin;Toxin CbtA
group_7714,MobI
group_7644,hypothetical protein
group_7347,UmuC domain-containing protein;Translesion error-prone DNA polymerase V subunit UmuC;UmuC
acaC,AcaC
ampR,hypothetical protein;LysR family transcriptional regulator AmpR
group_6341,hypothetical protein
group_6249,Inner membrane protein
group_6013,Lipoprotein
group_5536,O-antigen ligase family protein
group_5004,hypothetical protein
group_4963,N-acetyltransferase
group_4957,Diguanylate cyclase;GAF domain-containing protein;GGDEF domain-containing protein
group_4568,Transglutaminase-like domain-containing protein
group_4567,ABC-type polar amino acid transport system protein
group_4498,transporter
group_4469,Conjugal transfer protein TraF
group_4318,TetR/AcrR family transcriptional regulator
group_4159,S24 family peptidase;LexA repressor
group_3525,hypothetical protein
group_3409,Conjugal transfer protein TraH
group_3345,Endonuclease YncB thermonuclease family
group_3186,hypothetical protein
group_3118,hypothetical protein
group_2926,Superfamily I DNA or RNA helicase
group_2884,hypothetical protein
group_2475,Restriction endonuclease
himA,Bacterial nucleoid DNA-binding protein IHF-alpha
group_2180,Phage protein
group_2064,Prophage protein
group_2014,Dcm methylase;Methylase
group_1952,JAB domain-containing protein
group_1824,HTH cro/C1-type domain-containing protein
group_1820,Integrase
group_1815,hypothetical protein
group_1447,hypothetical protein
group_1156,DUF326 domain-containing protein
group_1089,polysaccharide biosynthesis tyrosine autokinase
group_456,Transcriptional regulator
group_435,Lipoprotein
group_427,Diaminopimelate decarboxylase
group_242,hypothetical protein
group_240,Cox family DNA-binding protein;Regulatory phage protein cox
group_226,Transglycosylase SLT domain-containing protein
group_163,DUF905 domain-containing protein;Cytoplasmic protein
group_132,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
group_131,Fe3+-siderophore ABC transporter permease
group_75,Fertility inhibition protein
group_61,hypothetical protein
group_21512,IS110 family transposase;Transposase;transposase
group_21384,hypothetical protein;DUF551 domain-containing protein
group_21316,Phospholipase;Phospholipase D;hypothetical protein
group_21037,hypothetical protein;hemagglutinin repeat-containing protein;polymorphic toxin type 50 domain-containing protein;Contact-dependent inhibitor A
group_20560,LamG domain-containing protein
group_20559,hypothetical protein;Flagellar biosynthesis cell-distal portion of basal-body rod
group_18607,Major tail protein;hypothetical protein
group_13933,type IV secretion system protein TraC
group_13930,EAL domain c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)
group_13929,Endonuclease
group_13928,MoxR-like ATPase
group_13927,hypothetical protein
group_13926,phage recombination protein Bet
