Gene,Annotation
yesR~~~rhiN,Rhamnogalacturonyl hydrolase YesR;putative unsaturated glucuronyl hydrolase involved in regulation of bacterial surface properties and related proteins;Unsaturated rhamnogalacturonyl hydrolase YesR;Rhamnogalacturonides degradation protein RhiN
group_8243,class I fumarate hydratase FumA;fumarate hydratase;Fumarate hydratase class I
group_8240,Common pilus major fimbrillin subunit EcpA;common pilus major fimbrillin subunit EcpA
group_8231,DNA polymerase III subunit theta
hslV,ATP-dependent protease subunit HslV
group_8216,intermembrane transport protein PqiB
group_8215,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase
pqiC,membrane integrity-associated transporter subunit PqiC
ccdA~~~dalT~~~narK,Cytochrome C biogenesis protein CcdA;D-arabinitol transporter;Ribitol/Xylitol/Arabitol transporter;Nitrate/nitrite transporter NarK;hypothetical protein;MFS transporter
metA,homoserine O-succinyltransferase
aceB,malate synthase A
group_8202,phosphoenolpyruvate carboxykinase (ATP)
yegS,lipid kinase YegS
group_8185,tartrate dehydrogenase
lysR~~~dmlR,LysR family transcriptional regulator;DNA-binding transcriptional regulator LysR family;HTH-type transcriptional regulator DmlR;Positive regulator of Tartrate dehydrogenase/decarboxylase/D-malic enzyme;LysR substrate-binding domain-containing protein
group_8184,Glycine/D-amino acid oxidase (deaminating)
yejE,ABC-type microcin C transport system permease component YejE
yejF,microcin C ABC transporter ATP-binding protein YejF;ABC transporter ATP-binding protein;Uncharacterized ABC transporter ATP-binding protein YejF
nCS2,Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ nucleobase:cation symporter 2 ( NCS2) family;Xanthine/uracil/thiamine/ascorbate permease family protein
ade,Adenine deaminase;Putative amidohydrolase;amidohydrolase family protein
uspC,universal stress protein UspC
melB~~~rhiT,Na+/melibiose symporter or related transporter;MFS transporter;MFS transmembrane transporter;Rhamnogalacturonide transporter RhiT
pnbA,Carboxylesterase type B;Carboxylic ester hydrolase;carboxylesterase family protein
malI~~~purR,Mal regulon transcriptional regulator MalI;DNA-binding transcriptional regulator LacI/PurR family;Maltose regulon regulatory protein MalI
phnC,phosphonate ABC transporter ATP-binding protein
ydgA,Protein YdgA;DUF945 domain-containing protein
group_8144,Periplasmic or exported protein;hypothetical protein
mutH,DNA mismatch repair endonuclease MutH;DNA mismatch repair protein MutH
